,id,name,price,url,category_name,Размер,Материал,Цвет,Класс,Набор,Подсветка,Вес,Объем упаковки,Страна производства,Страна бренда
806,2586,Гирлянда из колокольчиков с бантом 45 см золотая,700.0,/goods/grozd-kolokolchikov-s-bantom-45-sm-zolotaya/,Колокольчики,L (31-50 см),Пластик,золото,стандарт,Нет,Нет,0.15,0.0033,Китай,Россия
807,2587,"Елочная игрушка Колокольчик Итилиэн 10 см, подвеска",430.0,/goods/elochnaya-igrushka-kolokolchik-itilijen-10-sm-podveska/,Колокольчики,S (7-14 см),Акрил,золото,стандарт,Нет,Нет,0.03,0.0004,Китай,Россия
808,2588,"Бант кожаный ""Элегантный"", красный",960.0,/goods/bant-kozhanyj-jelegantnyj-40-sm-krasnyj/,Банты на елку,L (31-50 см),Эко-кожа,красный / бордовый,стандарт,Нет,Нет,0.25,0.009,Россия,Россия
809,2591,Елочная игрушка Снеговик Альбион - Goldenfrost Tales 12 см,1910.0,/goods/elochnaya-igrushka-snegovik-albion-v-belom-sharfike-11-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Полистоун,золото,премиум,Нет,Нет,0.11,0.0004,Китай,Нидерланды
810,2593,"Елочная игрушка Сканди Рождество: Елочка 10 см, подвеска",260.0,/goods/elochnaya-igrushka-skandi-rozhdestvo-elochka-10-sm-podveska/,Елочки,S (7-14 см),Текстиль,белый,стандарт,Нет,Нет,0.02,0.0003,Китай,Нидерланды
811,2594,"Елочная игрушка Коровка Милдред 8 см черная, подвеска",180.0,/goods/elochnaya-igrushka-korovka-mildred-8-sm-chernaya-farfor-podveska/,Животные,S (7-14 см),Керамика / Фарфор,черный,эконом,Нет,Нет,0.1,0.0003,Китай,Россия
812,2595,"Набор елочных игрушек Safari Friends 12 см, 9 шт, подвеска",3130.0,/goods/nabor-elochnyh-igrushek-safari-friends-12-sm-9-sht-podveska/,Животные,S (7-14 см),Пластик,серый,стандарт,Да,Нет,0.33,0.0042,Китай,Нидерланды
813,2596,Стеклянная елочная игрушка Зодиак - Змея Дебора с подарком 9 см вишневая,390.0,/goods/steklyannaya-elochnaya-igrushka-zodiak---zmeya-debora-s-podarkom-vishnevaya/,Животные,S (7-14 см),Стекло,розовый,стандарт,Нет,Нет,0.03,0.0006,Россия,Россия
814,2606,Деревянная елочная игрушка Санта Клаус - Пряничные Истории 10 см,200.0,/goods/derevyannaya-elochnaya-igrushka-santa-klaus---pryanichnye-istorii-10-sm/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Дерево,красный / бордовый,эконом,Нет,Нет,0.01,0.0001,Россия,Россия
815,2616,"Пуансеттия Bienne Borgogna 30 см, клипса",330.0,/goods/puansettiya-bienne-borgogna-30-sm-klipsa/,Пуансеттии,M (15-30 см),Текстиль,красный / бордовый,стандарт,Нет,Нет,0.04,0.0014,Китай,Россия
816,2618,"Елочная игрушка Эльф Берендей со звездой 15 см, подвеска",1300.0,/goods/elochnaya-igrushka-jelf-berendej-so-zvezdoj-15-sm-podveska/,Персонажи сказок,M (15-30 см),Полистоун,золото,премиум,Нет,Нет,0.04,0.0005,Китай,Италия
817,2620,"Декоративные Мухоморчики Waldpilze 4 см, 16 шт, на проволоке",280.0,/goods/dekorativnye-muhomorchiki-na-provoloke-16-sht/,Грибы,XS (до 6 см),Пенополистирол,красный / бордовый,стандарт,Да,Нет,0.06,0.0007,Китай,Нидерланды
818,2621,Елочная игрушка Танцовщица Альма - Sleeping Beauty 17 см,2120.0,/goods/elochnaya-igrushka-tancovshhica-alma---sleeping-beauty-17-sm/,Балет,M (15-30 см),Полистоун,кремовый / светлое дерево,премиум,Нет,Нет,0.08,0.001,Китай,Бельгия
819,2626,"Елочная игрушка из бисера Снежинка Олеандро 35 см, серебряная, подвеска",950.0,/goods/elochnaya-igrushka-iz-bisera-snezhinka-oleandro-35-sm-serebryanaya-podveska/,Снежинки,L (31-50 см),Металл,серебро,стандарт,Нет,Нет,0.04,0.0015,Индия,Нидерланды
820,2627,"Кукла на елку Фея-Танцовщица Кремона - Балет Ривенделла, 30 см, подвеска",1310.0,/goods/kukla-na-elku-feya-tancovshhica-kremona-balet-rivendella-30-sm-podveska/,Ангелы и Феи,M (15-30 см),Текстиль,кремовый / светлое дерево,стандарт,Нет,Нет,0.11,0.0014,Китай,Нидерланды
821,2628,"Набор деревянных елочных игрушек Рождественские забавы, золотой, 24 шт, подвеска",1160.0,/goods/nabor-derevyannyh-elochnyh-igrushek-zolotye-chelovechki-24-sht-podveska/,Деревянные игрушки,XS (до 6 см),Дерево,золото,стандарт,Да,Нет,0.12,0.0008,Китай,Нидерланды
822,2630,"Елочная игрушка Лошадка-качалка Джоди в красной упряжке 8 см, подвеска",390.0,/goods/elochnaya-igrushka-loshadka-kachalka-dzhodi-v-krasnoj-upryazhke-8-sm-podveska/,Символ года 2026,S (7-14 см),Пластик,белый,стандарт,Нет,Нет,0.02,0.0001,Китай,Нидерланды
823,2636,Елочная игрушка Колокольчик 10 см золотой 4 шт,480.0,/goods/kolokol-10sm-nabor-6sht-zoloto11444/,Колокольчики,S (7-14 см),Пластик,золото,эконом,Да,Нет,0.14,0.0017,Китай,Россия
824,2637,Стеклянная елочная игрушка Колокольчик Искра 7 см,740.0,/goods/elochnyj-shar-iskra-75-mm-steklo/,Колокольчики,S (7-14 см),Стекло,кремовый / светлое дерево,стандарт,Нет,Нет,0.04,0.0012,Россия,Россия
825,2641,"Набор елочных игрушек Рождественский Дуэт 17 см, 2 шт, пластик, подвеска",670.0,/goods/nabor-plastikovyh-elochnyh-igrushek-rozhdestvenskij-dujet-17-sm-2-sht-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Пластик,красный / бордовый,стандарт,Да,Нет,0.04,0.0016,Китай,Нидерланды
826,2642,"Стеклянная елочная игрушка Снеговик Рокфор в зеленом 15 см, подвеска",1780.0,/goods/steklyannaya-elochnaya-igrushka-snegovik-rokfor-v-zelenom-15-sm-podveska/,"Дед Мороз, Снегурочка и Снеговик",M (15-30 см),Стекло,зеленый,премиум,Нет,Нет,0.06,0.0003,Китай,Нидерланды
827,2645,"Елочная игрушка В Лесу Родилась Елочка 16 см золотая, подвеска",400.0,/goods/elochnaya-igrushka-v-lesu-rodilas-elochka-16-sm-zolotaya-podveska/,Елочки,M (15-30 см),Акрил,золото,стандарт,Нет,Нет,0.07,0.0005,Китай,Россия
